component,software_test,beam_energy(MeV),beam_flux(cm-2s-1),beam_fluence(cm-2),estimated_time_to_event(s)
LPDDR4-CPU,CPU memcheck,1,1E4,1E6,100.0
LPDDR4-CPU,CPU memcheck,10,1E3,1E6,1000.0
LPDDR4-CPU,CPU memcheck,100,1E2,1E6,10000.0
LPDDR4-CPU,CPU memcheck,50,1E2,1E6,10000.0
LPDDR4-GPU,CUDA MEMCHECK,1,1E4,1E6,100.0
LPDDR4-GPU,CUDA MEMCHECK,10,1E3,1E6,1000.0
LPDDR4-GPU,CUDA MEMCHECK,100,1E2,1E6,10000.0
LPDDR4-GPU,CUDA MEMCHECK,50,1E2,1E6,10000.0
LPDDR4-GPU,Badblocks,1,1E4,1E6,100.0
LPDDR4-GPU,Badblocks,10,1E3,1E6,1000.0
LPDDR4-GPU,Badblocks,100,1E2,1E6,10000.0
LPDDR4-GPU,Badblocks,50,1E2,1E6,10000.0
GPU,PTX script,1,1E4,1E6,100.0
GPU,PTX script,10,1E3,1E6,1000.0
GPU,PTX script,100,1E2,1E6,10000.0
GPU,PTX script,50,1E2,1E6,10000.0
GPU,CUDA samples,1,1E4,1E6,100.0
GPU,CUDA samples,10,1E3,1E6,1000.0
GPU,CUDA samples,100,1E2,1E6,10000.0
GPU,CUDA samples,50,1E2,1E6,10000.0
Flash,Vector Add/AND,1,1E4,1E6,100.0
Flash,Vector Add/AND,10,1E3,1E6,1000.0
Flash,Vector Add/AND,100,1E2,1E6,10000.0
Flash,Vector Add/AND,50,1E2,1E6,10000.0
